order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,preferred_cuisine,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance
1d8e87M,16,Taccos,2024-01-31,2024-01-31,2.17,42.21,Bike,Medium,Snowy,0.0,17.15,Route_4,9c6dbfcb-72c5-4cc4-9f76-29200f0efda7,32,Female,City_9,46,4,American,Monthly,Yes,Hot,5,1,Fair,3,False,False,Bike-friendly,0.8012908918548073,Car,Yes
f4d84dC,30,Briyani rice,2024-10-16,2024-10-16,13.4,24.82,Car,High,Sunny,0.0,16.04,Route_2,b3e207bd-103e-4154-b7cc-7e32bd898ee3,59,Male,City_5,19,1,Asian,Weekly,No,Warm,3,2,Fair,5,False,False,Bike-friendly,0.6457949588011505,Car,No
5a6006W,3,Pasta,2024-09-11,2024-09-11,10.74,37.25,Walk,High,Snowy,0.0,9.09,Route_3,4a96f5b2-04c4-428d-a1cd-3015ff43698a,20,Male,City_8,10,5,Mexican,Monthly,Yes,Warm,4,5,Good,5,True,False,Bike-friendly,0.29119324919624334,Car,No
3b3eb0Q,93,Whole cake,2024-09-17,2024-09-17,6.29,49.88,Bike,High,Snowy,0.0,-2.11,Route_5,1f35bbcf-a7d6-46c7-85eb-2416da4435f7,31,Male,City_5,6,4,American,Monthly,Yes,Cold,2,3,Poor,4,False,False,Car-only,0.1338269976586849,Car,No
135630M,15,Sushi,2024-08-26,2024-08-26,2.94,8.53,Walk,Low,Sunny,0.0,12.2,Route_5,db836e89-73e6-461d-b74f-d0f8c556e7b5,27,Other,City_10,24,3,Asian,Weekly,Yes,Cold,4,5,Good,1,False,True,Car-only,0.34923312318654276,Car,No
070428H,63,Salad,2024-03-30,2024-03-30,12.42,18.08,Bike,High,Rainy,0.0,-0.34,Route_1,d276487d-a0a1-42fe-a970-f4338aee3eaa,53,Female,City_5,30,1,Mexican,Weekly,No,Warm,3,1,Good,2,False,False,Mixed,0.3071036506348548,Car,No
5047aeR,21,Taccos,2024-10-14,2024-10-14,8.83,38.47,Car,Low,Snowy,0.0,0.35,Route_3,bf8fe126-f8ce-4299-b347-30dcf6b36ff7,39,Male,City_10,31,2,American,Weekly,Yes,Warm,3,5,Fair,5,False,False,Mixed,0.5228979670104985,Car,No
901e73C,80,Burritos,2024-04-02,2024-04-02,7.12,25.68,Car,Low,Sunny,0.0,-1.31,Route_3,04d74373-f908-4e46-b560-50df718c531e,30,Female,City_10,25,1,Mediterranean,Monthly,Yes,Hot,5,5,Fair,5,True,True,Car-only,0.5307443414637483,Bike,No
66e2ecP,100,Briyani rice,2024-12-03,2024-12-03,7.7,43.09,Car,Low,Snowy,0.0,15.55,Route_3,02b61de6-4234-46cf-86c9-fc142781cb3d,46,Female,City_2,11,4,American,Monthly,No,Hot,1,5,Good,2,True,False,Bike-friendly,0.8372742196705483,Car,Yes
49965eU,30,Chicken wings,2024-03-01,2024-03-01,12.31,21.94,Car,Low,Sunny,0.0,9.38,Route_3,c74fcff8-b73f-413e-b4f2-ec9fa3b6e167,43,Other,City_1,43,1,Asian,Monthly,No,Cold,4,4,Good,2,False,False,Mixed,0.6489171123680545,Car,No
55102eN,21,Soup,2024-07-08,2024-07-08,14.22,5.45,Walk,Medium,Rainy,0.0,-1.25,Route_2,2133a3e8-d407-483a-8e43-04f3710b5591,35,Male,City_2,30,4,American,Monthly,Yes,Cold,4,2,Fair,5,False,True,Mixed,0.9016728530126394,Car,Yes
01883cY,57,Pasta,2024-01-27,2024-01-27,3.16,23.95,Bike,Low,Rainy,0.0,4.98,Route_5,aea90c9d-8698-474a-9a21-35865ee03615,20,Female,City_7,30,5,Mexican,Weekly,Yes,Cold,5,5,Good,1,True,True,Mixed,0.12223224094527063,Bike,No
60c1d3P,80,Beef pie,2024-08-02,2024-08-02,3.98,42.35,Car,Medium,Rainy,0.0,1.6,Route_2,77c15890-3370-4716-915c-3beeccc96839,32,Female,City_6,15,1,American,Monthly,No,Cold,4,5,Fair,4,True,True,Mixed,0.22049847554665802,Bike,No
